country_name,Year,Sex,Age,n
Australia,2008,Female,60-64 years,45.0
Australia,2008,Female,65-69 years,51.0
Australia,2008,Female,70-74 years,46.0
Australia,2008,Female,75-79 years,62.0
Australia,2008,Female,80-84 years,86.0
Australia,2008,Female,85-89 years,101.0
Australia,2008,Female,90-94 years,52.0
Australia,2008,Female,95+ years,32.0
Australia,2008,Female,All ages,613.0
Australia,2008,Female,Unspecified,0.0
Australia,2009,Male,0 years,0.0
Australia,2009,Male,1 years,0.0
Australia,2009,Male,10-14 years,0.0
Australia,2009,Male,15-19 years,0.0
Australia,2009,Male,2 years,0.0
Australia,2009,Male,20-24 years,1.0
Australia,2009,Male,25-29 years,3.0
Australia,2009,Male,3 years,0.0
Australia,2009,Male,30-34 years,16.0
Australia,2009,Male,35-39 years,15.0
Australia,2009,Male,4 years,0.0
Australia,2009,Male,40-44 years,30.0
Australia,2009,Male,45-49 years,34.0
Australia,2009,Male,5-9 years,0.0
Australia,2009,Male,50-54 years,67.0
Australia,2009,Male,55-59 years,79.0
Australia,2009,Male,60-64 years,113.0
Australia,2009,Male,65-69 years,136.0
Australia,2009,Male,70-74 years,162.0
Australia,2009,Male,75-79 years,167.0
Australia,2009,Male,80-84 years,218.0
Australia,2009,Male,85-89 years,121.0
Australia,2009,Male,90-94 years,56.0
Australia,2009,Male,95+ years,20.0
Australia,2009,Male,All ages,1238.0
Australia,2009,Male,Unspecified,0.0
Australia,2009,Female,0 years,0.0
Australia,2009,Female,1 years,0.0
Australia,2009,Female,10-14 years,0.0
Australia,2009,Female,15-19 years,0.0
Australia,2009,Female,2 years,0.0
Australia,2009,Female,20-24 years,4.0
Australia,2009,Female,25-29 years,8.0
Australia,2009,Female,3 years,0.0
Australia,2009,Female,30-34 years,5.0
Australia,2009,Female,35-39 years,18.0
Australia,2009,Female,4 years,0.0
Australia,2009,Female,40-44 years,21.0
Australia,2009,Female,45-49 years,26.0
Australia,2009,Female,5-9 years,0.0
Australia,2009,Female,50-54 years,32.0
Australia,2009,Female,55-59 years,36.0
Australia,2009,Female,60-64 years,41.0
Australia,2009,Female,65-69 years,57.0
Australia,2009,Female,70-74 years,54.0
Australia,2009,Female,75-79 years,58.0
Australia,2009,Female,80-84 years,68.0
Australia,2009,Female,85-89 years,88.0
Australia,2009,Female,90-94 years,55.0
Australia,2009,Female,95+ years,28.0
Australia,2009,Female,All ages,599.0
Australia,2009,Female,Unspecified,0.0
Australia,2010,Male,0 years,0.0
Australia,2010,Male,1 years,1.0
Australia,2010,Male,10-14 years,0.0
Australia,2010,Male,15-19 years,1.0
Australia,2010,Male,2 years,0.0
Australia,2010,Male,20-24 years,0.0
Australia,2010,Male,25-29 years,6.0
Australia,2010,Male,3 years,0.0
Australia,2010,Male,30-34 years,11.0
Australia,2010,Male,35-39 years,22.0
Australia,2010,Male,4 years,0.0
Australia,2010,Male,40-44 years,20.0
Australia,2010,Male,45-49 years,43.0
Australia,2010,Male,5-9 years,1.0
Australia,2010,Male,50-54 years,63.0
Australia,2010,Male,55-59 years,95.0
Australia,2010,Male,60-64 years,133.0
Australia,2010,Male,65-69 years,139.0
Australia,2010,Male,70-74 years,147.0
Australia,2010,Male,75-79 years,171.0
Australia,2010,Male,80-84 years,202.0
Australia,2010,Male,85-89 years,167.0
Australia,2010,Male,90-94 years,56.0
Australia,2010,Male,95+ years,18.0
Australia,2010,Male,All ages,1297.0
Australia,2010,Male,Unspecified,1.0
Australia,2010,Female,0 years,0.0
Australia,2010,Female,1 years,0.0
Australia,2010,Female,10-14 years,0.0
Australia,2010,Female,15-19 years,0.0
Australia,2010,Female,2 years,0.0
Australia,2010,Female,20-24 years,2.0
Australia,2010,Female,25-29 years,5.0
Australia,2010,Female,3 years,0.0
Australia,2010,Female,30-34 years,3.0
Australia,2010,Female,35-39 years,9.0
Australia,2010,Female,4 years,0.0
Australia,2010,Female,40-44 years,22.0
Australia,2010,Female,45-49 years,14.0
Australia,2010,Female,5-9 years,0.0
Australia,2010,Female,50-54 years,36.0
Australia,2010,Female,55-59 years,47.0
Australia,2010,Female,60-64 years,53.0
Australia,2010,Female,65-69 years,49.0
Australia,2010,Female,70-74 years,62.0
Australia,2010,Female,75-79 years,65.0
Australia,2010,Female,80-84 years,78.0
Australia,2010,Female,85-89 years,80.0
Australia,2010,Female,90-94 years,47.0
Australia,2010,Female,95+ years,28.0
Australia,2010,Female,All ages,600.0
Australia,2010,Female,Unspecified,0.0
Australia,2011,Male,0 years,0.0
Australia,2011,Male,1 years,0.0
Australia,2011,Male,10-14 years,0.0
Australia,2011,Male,15-19 years,0.0
Australia,2011,Male,2 years,0.0
Australia,2011,Male,20-24 years,1.0
Australia,2011,Male,25-29 years,9.0
Australia,2011,Male,3 years,0.0
Australia,2011,Male,30-34 years,10.0
Australia,2011,Male,35-39 years,14.0
Australia,2011,Male,4 years,0.0
Australia,2011,Male,40-44 years,36.0
Australia,2011,Male,45-49 years,38.0
Australia,2011,Male,5-9 years,0.0
Australia,2011,Male,50-54 years,63.0
Australia,2011,Male,55-59 years,92.0
Australia,2011,Male,60-64 years,150.0
Australia,2011,Male,65-69 years,143.0
Australia,2011,Male,70-74 years,185.0
Australia,2011,Male,75-79 years,203.0
Australia,2011,Male,80-84 years,205.0
Australia,2011,Male,85-89 years,167.0
Australia,2011,Male,90-94 years,83.0
Australia,2011,Male,95+ years,27.0
Australia,2011,Male,All ages,1426.0
Australia,2011,Male,Unspecified,0.0
Australia,2011,Female,0 years,0.0
Australia,2011,Female,1 years,0.0
Australia,2011,Female,10-14 years,0.0
Australia,2011,Female,15-19 years,0.0
Australia,2011,Female,2 years,0.0
Australia,2011,Female,20-24 years,2.0
Australia,2011,Female,25-29 years,4.0
Australia,2011,Female,3 years,0.0
Australia,2011,Female,30-34 years,8.0
Australia,2011,Female,35-39 years,20.0
Australia,2011,Female,4 years,0.0
Australia,2011,Female,40-44 years,19.0
Australia,2011,Female,45-49 years,20.0
Australia,2011,Female,5-9 years,0.0
Australia,2011,Female,50-54 years,31.0
Australia,2011,Female,55-59 years,40.0
Australia,2011,Female,60-64 years,51.0
Australia,2011,Female,65-69 years,37.0
Australia,2011,Female,70-74 years,54.0
Australia,2011,Female,75-79 years,65.0
Australia,2011,Female,80-84 years,93.0
Australia,2011,Female,85-89 years,103.0
Australia,2011,Female,90-94 years,67.0
Australia,2011,Female,95+ years,47.0
Australia,2011,Female,All ages,661.0
Australia,2011,Female,Unspecified,0.0
Australia,2012,Male,0 years,0.0
Australia,2012,Male,1 years,0.0
Australia,2012,Male,10-14 years,0.0
Australia,2012,Male,15-19 years,1.0
Australia,2012,Male,2 years,0.0
Australia,2012,Male,20-24 years,1.0
Australia,2012,Male,25-29 years,11.0
Australia,2012,Male,3 years,0.0
Australia,2012,Male,30-34 years,8.0
Australia,2012,Male,35-39 years,17.0
Australia,2012,Male,4 years,0.0
Australia,2012,Male,40-44 years,19.0
Australia,2012,Male,45-49 years,41.0
Australia,2012,Male,5-9 years,0.0
Australia,2012,Male,50-54 years,58.0
Australia,2012,Male,55-59 years,80.0
Australia,2012,Male,60-64 years,130.0
Australia,2012,Male,65-69 years,157.0
Australia,2012,Male,70-74 years,190.0
Australia,2012,Male,75-79 years,196.0
Australia,2012,Male,80-84 years,202.0
Australia,2012,Male,85-89 years,182.0
Australia,2012,Male,90-94 years,79.0
Australia,2012,Male,95+ years,29.0
Australia,2012,Male,All ages,1401.0
Australia,2012,Male,Unspecified,0.0
Australia,2012,Female,0 years,0.0
Australia,2012,Female,1 years,0.0
Australia,2012,Female,10-14 years,0.0
Australia,2012,Female,15-19 years,0.0
Australia,2012,Female,2 years,0.0
Australia,2012,Female,20-24 years,3.0
Australia,2012,Female,25-29 years,7.0
Australia,2012,Female,3 years,0.0
Australia,2012,Female,30-34 years,6.0
Australia,2012,Female,35-39 years,7.0
Australia,2012,Female,4 years,0.0
